country,date_extraction,track_id,streams,album,artist,duration_ms,track_name,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,not_explicit,explicit
Peru,2020-01-01,3PO33eZA4N4WiCLpHEjZZO,0.05681060715838284,Parranda la Negrita,Grupo 5,0.5591481633825116,Parranda la Negrita - En Vivo,0.6609999999999999,0.805,0.9090909090909091,0.6303286261053187,0.0,0.0383,0.44799999999999995,1.51e-06,0.175,0.6890000000000001,0.2895969454577742,1,0
Peru,2020-01-01,5EfZefiHsjFNmXbN7DdU8C,0.037096073032893785,Motor Y Motivo,Grupo 5,0.25729253168388294,Te Vas,0.763,0.7090000000000001,0.18181818181818182,0.7737890985878315,0.0,0.0318,0.0948,0.0,0.278,0.706,0.25197013533812324,1,0
Peru,2020-01-01,3pt33jcP1bE1N7zAZAJFbx,0.03419069700043472,Sodoma y Gamarra,Bareto,0.254913039091664,Cariñito,0.769,0.765,0.0,0.7190180810347103,1.0,0.0433,0.304,0.000132,0.0428,0.899,0.26705045766336394,1,0
Peru,2020-01-01,4mdkLjfCwdVNZZD8jrtqQJ,0.03262570641935951,Amor de Estudiante,Armonia 10,0.4129622587329551,Cervecero,0.5489999999999999,0.872,1.0,0.9632440279794114,0.0,0.0365,0.45799999999999996,0.000294,0.122,0.905,0.3235683683209636,1,0
Peru,2020-01-01,4VBehv3X5yJwEDunLEuoEk,0.027611940298507463,Porque un Hombre No Llora,Josimar y Su Yambú,0.3649176180239191,Porque un Hombre No Llora,0.6609999999999999,0.934,0.45454545454545453,0.7252210637455457,1.0,0.0457,0.0817,0.0108,0.26,0.889,0.8507358871713664,1,0
Peru,2020-01-01,7uxnFapaeICZNrr73vFPUX,0.027169975365889002,A Lo Perucho,Josimar y Su Yambú,0.40672094124221,Con la Misma Moneda,0.536,0.665,0.6363636363636364,0.6864854163917118,0.0,0.0386,0.287,0.0,0.0516,0.45299999999999996,0.17639833361698345,1,0
Peru,2020-01-01,7FxnHDy0ew0aDygCSo6vYH,0.024409505868714678,Quiero Amanecer,Bareto,0.17348720615284322,Quiero Amanecer,0.595,0.887,0.0,0.7749109146100039,1.0,0.0335,0.0613,0.000195,0.156,0.8959999999999999,0.2575420110549565,1,0
Peru,2020-01-01,3xsy9cyy4k6glloiOWhQb0,0.023525576003477756,Por Qué Te Fuiste,Maricarmen Marin,0.19418553212625436,Por Qué Te Fuiste,0.713,0.665,0.0,0.8016365316088161,1.0,0.037000000000000005,0.41700000000000004,1.53e-05,0.102,0.948,0.14115418482644312,1,0
Peru,2020-01-01,5ILziynSUg35rG5g3d8oNS,0.021721489639182728,Por Culpa de Alguien,"Josimar y Su Yambú,Son Tentacion",0.36658776416170613,Ese Estúpido (Feat. Son Tentación),0.732,0.7859999999999999,0.45454545454545453,0.5221723637323479,1.0,0.0547,0.575,5.25e-06,0.125,0.78,0.20075031633158943,1,0
Peru,2020-01-01,2oW4NFj701D1MlL3ik9znN,0.021402695261556297,30 Años Armonía 10,Armonía 10,0.2011206742671768,Dios mio hasta que me enamoré,0.612,0.769,1.0,0.7156526329681931,0.0,0.028999999999999998,0.106,0.000488,0.0404,0.917,0.5505575575501503,1,0
Peru,2020-01-01,5RYSQDIq0ZPGc03ZnUut57,0.021337487320678163,Privilegio 2,Los 4,0.38328922553957673,Mi Historia Entre Tus Dedos,0.7240000000000001,0.9420000000000001,0.0,0.7889666094760459,1.0,0.049,0.419,3.53e-06,0.0682,0.81,0.2597692814278208,1,0
Peru,2020-01-01,0erGyP3ccj9BUn64fLuSP4,0.02020721634545718,Los Exitos (Deluxe Edition),Los 4,0.3133774669967637,Tu De Que Vas,0.755,0.9359999999999999,0.8181818181818182,0.9076151511152172,1.0,0.0573,0.5660000000000001,3.53e-05,0.0749,0.8909999999999999,0.24471855737996034,1,0
